"row_id","x","y","z","size","color","category","tooltip","date","nodeName"
"44","64.3672","22.5282","51.8403","13.7","40.85","Segment-08","Node 044 on 2025-02-13 | row 44","2025-02-13","Node-044"
"45","66.664","21.931","50.8278","11.15","45.65","Segment-09","Node 045 on 2025-02-14 | row 45","2025-02-14","Node-045"
"46","68.928","-4.4272","49.7426","12.2","50.45","Segment-10","Node 046 on 2025-02-15 | row 46","2025-02-15","Node-046"
"47","71.1587","-5.0247","48.5886","13.25","55.25","Segment-11","Node 047 on 2025-02-16 | row 47","2025-02-16","Node-047"
"48","73.3559","-5.6196","47.3699","14.3","60.05","Segment-12","Node 048 on 2025-02-17 | row 48","2025-02-17","Node-048"
"49","75.5194","-6.2103","46.0907","15.35","49.8","Segment-01","Node 049 on 2025-02-18 | row 49","2025-02-18","Node-049"
"50","77.6489","-6.7951","44.7557","16.4","54.6","Segment-02","Node 050 on 2025-02-19 | row 50","2025-02-19","Node-050"
"51","55.0941","-7.3723","43.3692","6.4","59.4","Segment-03","Node 051 on 2025-02-20 | row 51","2025-02-20","Node-051"
"52","57.155","-7.9402","41.9361","7.45","64.2","Segment-04","Node 052 on 2025-02-21 | row 52","2025-02-21","Node-052"
"53","59.1813","-8.497","40.4612","8.5","69","Segment-05","Node 053 on 2025-02-22 | row 53","2025-02-22","Node-053"
"54","61.1728","-9.0412","38.9493","5.95","73.8","Segment-06","Node 054 on 2025-02-23 | row 54","2025-02-23","Node-054"
"55","63.1295","-9.571","37.4056","7","58.8","Segment-07","Node 055 on 2025-02-24 | row 55","2025-02-24","Node-055"
"56","65.0513","-10.0849","35.835","8.05","48.55","Segment-08","Node 056 on 2025-02-25 | row 56","2025-02-25","Node-056"
"57","66.938","-10.5811","34.2429","9.1","53.35","Segment-09","Node 057 on 2025-02-26 | row 57","2025-02-26","Node-057"
"58","68.7897","-11.0582","32.6343","10.15","58.15","Segment-10","Node 058 on 2025-02-27 | row 58","2025-02-27","Node-058"
"59","59.5864","-11.5144","31.0145","11.2","62.95","Segment-11","Node 059 on 2025-02-28 | row 59","2025-02-28","Node-059"
"60","61.368","-11.9484","29.3888","12.25","67.75","Segment-12","Node 060 on 2025-03-01 | row 60","2025-03-01","Node-060"
"61","63.1146","-12.3584","27.7626","13.3","72.55","Segment-01","Node 061 on 2025-03-02 | row 61","2025-03-02","Node-061"
"62","64.8262","-12.7431","-2.069","14.35","77.35","Segment-02","Node 062 on 2025-03-03 | row 62","2025-03-03","Node-062"
"63","66.503","-4.731","-3.6807","11.8","67.1","Segment-03","Node 063 on 2025-03-04 | row 63","2025-03-04","Node-063"
"64","68.145","-5.0606","-5.2772","12.85","71.9","Segment-04","Node 064 on 2025-03-05 | row 64","2025-03-05","Node-064"
"65","69.7524","-5.3606","-6.8534","13.9","76.7","Segment-05","Node 065 on 2025-03-06 | row 65","2025-03-06","Node-065"
"66","71.3254","-5.6295","-8.404","14.95","61.7","Segment-06","Node 066 on 2025-03-07 | row 66","2025-03-07","Node-066"
"67","72.8641","-5.8661","-9.9241","16","66.5","Segment-07","Node 067 on 2025-03-08 | row 67","2025-03-08","Node-067"
"68","49.7187","-6.069","-11.4087","6","71.3","Segment-08","Node 068 on 2025-03-09 | row 68","2025-03-09","Node-068"
"69","51.1895","-31.997","-12.8528","7.05","76.1","Segment-09","Node 069 on 2025-03-10 | row 69","2025-03-10","Node-069"
"70","52.6267","-32.1289","-14.2517","8.1","65.85","Segment-10","Node 070 on 2025-03-11 | row 70","2025-03-11","Node-070"
"71","54.0307","-32.2235","-15.6008","9.15","70.65","Segment-11","Node 071 on 2025-03-12 | row 71","2025-03-12","Node-071"
"72","55.4017","-32.2797","-16.8954","6.6","75.45","Segment-12","Node 072 on 2025-03-13 | row 72","2025-03-13","Node-072"
"73","56.7401","-32.2964","-18.1313","7.65","80.25","Segment-01","Node 073 on 2025-03-14 | row 73","2025-03-14","Node-073"
"74","58.0463","-32.2726","-19.3042","8.7","85.05","Segment-02","Node 074 on 2025-03-15 | row 74","2025-03-15","Node-074"
"75","59.3205","-32.2073","-20.4101","9.75","89.85","Segment-03","Node 075 on 2025-03-16 | row 75","2025-03-16","Node-075"
"76","60.5633","-32.0995","-21.445","10.8","94.65","Segment-04","Node 076 on 2025-03-17 | row 76","2025-03-17","Node-076"
"77","61.7751","-31.9485","-22.4052","11.85","64.6","Segment-05","Node 077 on 2025-03-18 | row 77","2025-03-18","Node-077"
"78","62.9562","-31.7533","-23.2873","12.9","69.4","Segment-06","Node 078 on 2025-03-19 | row 78","2025-03-19","Node-078"
"79","64.1072","-31.5132","-24.0879","13.95","74.2","Segment-07","Node 079 on 2025-03-20 | row 79","2025-03-20","Node-079"
"80","65.2286","-31.2274","-24.804","15","79","Segment-08","Node 080 on 2025-03-21 | row 80","2025-03-21","Node-080"
"81","66.3209","-30.8954","-25.4327","12.45","83.8","Segment-09","Node 081 on 2025-03-22 | row 81","2025-03-22","Node-081"
"82","67.3847","-30.5164","-25.9714","13.5","88.6","Segment-10","Node 082 on 2025-03-23 | row 82","2025-03-23","Node-082"
"83","68.4204","-30.0899","-26.4176","14.55","93.4","Segment-11","Node 083 on 2025-03-24 | row 83","2025-03-24","Node-083"
"84","69.4287","-29.6154","-26.7691","15.6","83.15","Segment-12","Node 084 on 2025-03-25 | row 84","2025-03-25","Node-084"
"85","45.7602","-29.0924","-27.024","5.6","87.95","Segment-01","Node 085 on 2025-03-26 | row 85","2025-03-26","Node-085"
"86","46.7154","-28.5206","-27.1808","6.65","92.75","Segment-02","Node 086 on 2025-03-27 | row 86","2025-03-27","Node-086"
"87","47.6451","-27.8997","-27.2378","7.7","97.55","Segment-03","Node 087 on 2025-03-28 | row 87","2025-03-28","Node-087"
"88","37.5299","-27.2293","-27.194","8.75","82.55","Segment-04","Node 088 on 2025-03-29 | row 88","2025-03-29","Node-088"
"89","38.4104","-26.5093","-27.0483","9.8","87.35","Segment-05","Node 089 on 2025-03-30 | row 89","2025-03-30","Node-089"
"90","39.2674","-25.7394","-26.8003","7.25","92.15","Segment-06","Node 090 on 2025-03-31 | row 90","2025-03-31","Node-090"
"91","40.1016","-24.9197","-26.4494","8.3","81.9","Segment-07","Node 091 on 2025-04-01 | row 91","2025-04-01","Node-091"
"92","40.9137","-49.8101","-25.9955","9.35","86.7","Segment-08","Node 092 on 2025-04-02 | row 92","2025-04-02","Node-092"
"93","41.7044","-48.8905","-53.6488","10.4","91.5","Segment-09","Node 093 on 2025-04-03 | row 93","2025-04-03","Node-093"
"94","42.4745","-39.5511","-52.9896","11.45","96.3","Segment-10","Node 094 on 2025-04-04 | row 94","2025-04-04","Node-094"
"95","43.2248","-38.532","-52.2285","12.5","101.1","Segment-11","Node 095 on 2025-04-05 | row 95","2025-04-05","Node-095"
"96","43.956","-37.4634","-51.3665","13.55","105.9","Segment-12","Node 096 on 2025-04-06 | row 96","2025-04-06","Node-096"
"97","44.669","-36.3456","-50.4046","14.6","110.7","Segment-01","Node 097 on 2025-04-07 | row 97","2025-04-07","Node-097"
"98","45.3646","-35.1789","-49.3443","15.65","100.45","Segment-02","Node 098 on 2025-04-08 | row 98","2025-04-08","Node-098"
"99","46.0436","-33.9636","-48.1872","13.1","85.45","Segment-03","Node 099 on 2025-04-09 | row 99","2025-04-09","Node-099"
"100","46.7069","-32.7003","-46.9351","14.15","90.25","Segment-04","Node 100 on 2025-04-10 | row 100","2025-04-10","Node-100"
"101","47.3552","-31.3893","-45.5902","15.2","10.05","Segment-05","Node 101 on 2025-04-11 | row 101","2025-04-11","Node-101"
"102","23.3395","-30.0313","-44.1548","5.2","14.85","Segment-06","Node 102 on 2025-04-12 | row 102","2025-04-12","Node-102"
"103","23.9607","-28.6269","-42.6313","6.25","19.65","Segment-07","Node 103 on 2025-04-13 | row 103","2025-04-13","Node-103"
"104","24.5696","-27.1766","-41.0226","7.3","24.45","Segment-08","Node 104 on 2025-04-14 | row 104","2025-04-14","Node-104"
"105","25.1671","-25.6813","-39.3315","8.35","14.2","Segment-09","Node 105 on 2025-04-15 | row 105","2025-04-15","Node-105"
"106","25.7541","-24.1416","-37.5613","9.4","19","Segment-10","Node 106 on 2025-04-16 | row 106","2025-04-16","Node-106"
"107","26.3315","-22.5585","-35.7153","10.45","23.8","Segment-11","Node 107 on 2025-04-17 | row 107","2025-04-17","Node-107"
"108","26.9002","-20.9327","-33.7969","7.9","28.6","Segment-12","Node 108 on 2025-04-18 | row 108","2025-04-18","Node-108"
"109","27.4612","-19.2653","-31.8098","8.95","33.4","Segment-01","Node 109 on 2025-04-19 | row 109","2025-04-19","Node-109"
"110","28.0154","-17.5571","-29.7579","10","18.4","Segment-02","Node 110 on 2025-04-20 | row 110","2025-04-20","Node-110"
"111","28.5638","-15.8092","-27.645","11.05","23.2","Segment-03","Node 111 on 2025-04-21 | row 111","2025-04-21","Node-111"
"112","29.1071","-14.0226","-25.4753","12.1","12.95","Segment-04","Node 112 on 2025-04-22 | row 112","2025-04-22","Node-112"
"113","29.6465","-12.1986","-23.253","13.15","17.75","Segment-05","Node 113 on 2025-04-23 | row 113","2025-04-23","Node-113"
"114","30.1828","-10.3382","-20.9824","14.2","22.55","Segment-06","Node 114 on 2025-04-24 | row 114","2025-04-24","Node-114"
"115","30.717","-34.2026","-18.6679","15.25","27.35","Segment-07","Node 115 on 2025-04-25 | row 115","2025-04-25","Node-115"
"116","31.25","-32.273","-16.314","16.3","32.15","Segment-08","Node 116 on 2025-04-26 | row 116","2025-04-26","Node-116"
"117","20.7627","-30.3109","-13.9253","13.75","36.95","Segment-09","Node 117 on 2025-04-27 | row 117","2025-04-27","Node-117"
"118","21.2962","-28.3174","-11.5062","14.8","41.75","Segment-10","Node 118 on 2025-04-28 | row 118","2025-04-28","Node-118"
"119","-2.8186","-26.294","-9.0616","4.8","31.5","Segment-11","Node 119 on 2025-04-29 | row 119","2025-04-29","Node-119"
"120","-2.2808","-24.242","-6.5961","5.85","36.3","Segment-12","Node 120 on 2025-04-30 | row 120","2025-04-30","Node-120"
"121","-1.7395","-22.1628","-4.1144","6.9","21.3","Segment-01","Node 121 on 2025-05-01 | row 121","2025-05-01","Node-121"
"122","-1.1937","-20.058","-1.6212","7.95","26.1","Segment-02","Node 122 on 2025-05-02 | row 122","2025-05-02","Node-122"
"123","-0.6424","-17.929","0.8788","9","30.9","Segment-03","Node 123 on 2025-05-03 | row 123","2025-05-03","Node-123"
"124","-0.0847","-15.7774","-24.8291","10.05","35.7","Segment-04","Node 124 on 2025-05-04 | row 124","2025-05-04","Node-124"
"125","0.4802","-5.2346","-22.3295","11.1","40.5","Segment-05","Node 125 on 2025-05-05 | row 125","2025-05-05","Node-125"
"126","1.0534","-3.0423","-19.837","8.55","30.25","Segment-06","Node 126 on 2025-05-06 | row 126","2025-05-06","Node-126"
"127","1.6357","-0.8321","-17.3561","9.6","35.05","Segment-07","Node 127 on 2025-05-07 | row 127","2025-05-07","Node-127"
"128","2.228","1.3945","-14.8912","10.65","39.85","Segment-08","Node 128 on 2025-05-08 | row 128","2025-05-08","Node-128"
"129","2.8314","3.6358","-12.4468","11.7","44.65","Segment-09","Node 129 on 2025-05-09 | row 129","2025-05-09","Node-129"
"130","3.4465","5.8901","-10.0271","12.75","49.45","Segment-10","Node 130 on 2025-05-10 | row 130","2025-05-10","Node-130"
"131","4.0744","8.1557","-7.6362","13.8","54.25","Segment-11","Node 131 on 2025-05-11 | row 131","2025-05-11","Node-131"
"132","4.716","10.4311","-5.2781","14.85","39.25","Segment-12","Node 132 on 2025-05-12 | row 132","2025-05-12","Node-132"
"133","5.372","12.7144","-2.9569","15.9","29","Segment-01","Node 133 on 2025-05-13 | row 133","2025-05-13","Node-133"
"134","6.0434","15.004","-0.6761","16.95","33.8","Segment-02","Node 134 on 2025-05-14 | row 134","2025-05-14","Node-134"
"135","6.7309","17.2982","1.5605","14.4","38.6","Segment-03","Node 135 on 2025-05-15 | row 135","2025-05-15","Node-135"
"136","-17.2145","19.5953","3.7496","4.4","43.4","Segment-04","Node 136 on 2025-05-16 | row 136","2025-05-16","Node-136"
"137","-16.4921","21.8934","5.8879","5.45","48.2","Segment-05","Node 137 on 2025-05-17 | row 137","2025-05-17","Node-137"
"138","-15.751","-1.569","7.9723","6.5","53","Segment-06","Node 138 on 2025-05-18 | row 138","2025-05-18","Node-138"
"139","-14.9904","0.7263","9.9999","7.55","57.8","Segment-07","Node 139 on 2025-05-19 | row 139","2025-05-19","Node-139"
"140","-14.2097","3.0176","11.9681","8.6","47.55","Segment-08","Node 140 on 2025-05-20 | row 140","2025-05-20","Node-140"
"141","-13.4079","5.3031","13.8744","9.65","52.35","Segment-09","Node 141 on 2025-05-21 | row 141","2025-05-21","Node-141"
"142","-12.5844","7.5812","15.7165","10.7","57.15","Segment-10","Node 142 on 2025-05-22 | row 142","2025-05-22","Node-142"
"143","-11.7384","9.8501","17.4923","11.75","42.15","Segment-11","Node 143 on 2025-05-23 | row 143","2025-05-23","Node-143"
"144","-10.8692","12.1082","19.2001","9.2","46.95","Segment-12","Node 144 on 2025-05-24 | row 144","2025-05-24","Node-144"
"145","-9.9761","14.3538","20.8382","10.25","51.75","Segment-01","Node 145 on 2025-05-25 | row 145","2025-05-25","Node-145"
"146","-20.0783","16.5852","22.4053","11.3","56.55","Segment-02","Node 146 on 2025-05-26 | row 146","2025-05-26","Node-146"
"147","-19.1354","18.8009","23.9003","12.35","46.3","Segment-03","Node 147 on 2025-05-27 | row 147","2025-05-27","Node-147"
"148","-18.1665","20.9991","25.3222","13.4","51.1","Segment-04","Node 148 on 2025-05-28 | row 148","2025-05-28","Node-148"
"149","-17.1711","23.1782","26.6704","14.45","55.9","Segment-05","Node 149 on 2025-05-29 | row 149","2025-05-29","Node-149"
"150","-16.1486","25.3368","27.9446","15.5","60.7","Segment-06","Node 150 on 2025-05-30 | row 150","2025-05-30","Node-150"
"151","-15.0983","27.4731","29.1445","16.55","65.5","Segment-07","Node 151 on 2025-05-31 | row 151","2025-05-31","Node-151"
"152","-14.0197","29.5858","30.2702","17.6","70.3","Segment-08","Node 152 on 2025-06-01 | row 152","2025-06-01","Node-152"
"153","-37.5623","31.6733","31.3221","4","75.1","Segment-09","Node 153 on 2025-06-02 | row 153","2025-06-02","Node-153"
"154","-36.4255","33.7341","32.3007","5.05","45.05","Segment-10","Node 154 on 2025-06-03 | row 154","2025-06-03","Node-154"
"155","-35.2588","35.7668","4.9968","6.1","49.85","Segment-11","Node 155 on 2025-06-04 | row 155","2025-06-04","Node-155"
"156","-34.0617","46.1399","5.8314","7.15","54.65","Segment-12","Node 156 on 2025-06-05 | row 156","2025-06-05","Node-156"
"157","-32.8338","48.1122","6.5959","8.2","59.45","Segment-01","Node 157 on 2025-06-06 | row 157","2025-06-06","Node-157"
"158","-31.5747","50.0523","7.2917","9.25","64.25","Segment-02","Node 158 on 2025-06-07 | row 158","2025-06-07","Node-158"
"159","-30.2838","51.9588","7.9206","10.3","69.05","Segment-03","Node 159 on 2025-06-08 | row 159","2025-06-08","Node-159"
"160","-28.9609","53.8306","8.4844","11.35","73.85","Segment-04","Node 160 on 2025-06-09 | row 160","2025-06-09","Node-160"
"161","-27.6055","29.9064","8.9854","12.4","63.6","Segment-05","Node 161 on 2025-06-10 | row 161","2025-06-10","Node-161"
"162","-26.2173","31.705","9.4258","9.85","68.4","Segment-06","Node 162 on 2025-06-11 | row 162","2025-06-11","Node-162"
"163","-24.796","33.4653","9.8083","10.9","73.2","Segment-07","Node 163 on 2025-06-12 | row 163","2025-06-12","Node-163"
"164","-23.3412","35.1863","10.1356","11.95","78","Segment-08","Node 164 on 2025-06-13 | row 164","2025-06-13","Node-164"
"165","-21.8528","36.8668","10.4106","13","63","Segment-09","Node 165 on 2025-06-14 | row 165","2025-06-14","Node-165"
"166","-20.3304","38.506","10.6364","14.05","67.8","Segment-10","Node 166 on 2025-06-15 | row 166","2025-06-15","Node-166"
"167","-18.7739","40.1028","10.8162","15.1","72.6","Segment-11","Node 167 on 2025-06-16 | row 167","2025-06-16","Node-167"
"168","-17.183","41.6564","10.9535","16.15","62.35","Segment-12","Node 168 on 2025-06-17 | row 168","2025-06-17","Node-168"
"169","-15.5575","43.1659","11.0519","17.2","67.15","Segment-01","Node 169 on 2025-06-18 | row 169","2025-06-18","Node-169"
"170","-38.5474","44.6306","11.1149","7.2","71.95","Segment-02","Node 170 on 2025-06-19 | row 170","2025-06-19","Node-170"
"171","-36.8524","46.0497","11.1465","4.65","76.75","Segment-03","Node 171 on 2025-06-20 | row 171","2025-06-20","Node-171"
"172","-35.1225","47.4226","11.1506","5.7","81.55","Segment-04","Node 172 on 2025-06-21 | row 172","2025-06-21","Node-172"
"173","-33.3577","48.7486","11.1311","6.75","86.35","Segment-05","Node 173 on 2025-06-22 | row 173","2025-06-22","Node-173"
"174","-31.5577","50.0272","11.0923","7.8","91.15","Segment-06","Node 174 on 2025-06-23 | row 174","2025-06-23","Node-174"
"175","-40.7428","51.2578","11.0381","8.85","80.9","Segment-07","Node 175 on 2025-06-24 | row 175","2025-06-24","Node-175"
"176","-38.8728","52.44","10.973","9.9","65.9","Segment-08","Node 176 on 2025-06-25 | row 176","2025-06-25","Node-176"
"177","-36.9677","53.5734","10.9012","10.95","70.7","Segment-09","Node 177 on 2025-06-26 | row 177","2025-06-26","Node-177"
"178","-35.0277","54.6577","10.827","12","75.5","Segment-10","Node 178 on 2025-06-27 | row 178","2025-06-27","Node-178"
"179","-33.0528","55.6926","10.7548","13.05","80.3","Segment-11","Node 179 on 2025-06-28 | row 179","2025-06-28","Node-179"
"180","-31.0431","56.6778","10.6889","10.5","85.1","Segment-12","Node 180 on 2025-06-29 | row 180","2025-06-29","Node-180"
"181","-28.9988","57.6133","10.6336","11.55","89.9","Segment-01","Node 181 on 2025-06-30 | row 181","2025-06-30","Node-181"
"182","-26.9199","58.4989","10.5934","12.6","79.65","Segment-02","Node 182 on 2025-07-01 | row 182","2025-07-01","Node-182"
"183","-24.8068","59.3345","10.5726","13.65","84.45","Segment-03","Node 183 on 2025-07-02 | row 183","2025-07-02","Node-183"
"184","-22.6595","34.3602","10.5753","14.7","89.25","Segment-04","Node 184 on 2025-07-03 | row 184","2025-07-03","Node-184"
"185","-20.4784","35.0961","10.6059","15.75","94.05","Segment-05","Node 185 on 2025-07-04 | row 185","2025-07-04","Node-185"
"186","-18.2636","35.7823","-17.5416","16.8","98.85","Segment-06","Node 186 on 2025-07-05 | row 186","2025-07-05","Node-186"
"187","-40.6655","44.7889","-17.4431","6.8","83.85","Segment-07","Node 187 on 2025-07-06 | row 187","2025-07-06","Node-187"
"188","-38.3844","45.3764","-17.3045","7.85","88.65","Segment-08","Node 188 on 2025-07-07 | row 188","2025-07-07","Node-188"
"189","-36.0705","45.9148","-17.1221","5.3","78.4","Segment-09","Node 189 on 2025-07-08 | row 189","2025-07-08","Node-189"
"190","-33.7244","46.4047","-16.8921","6.35","83.2","Segment-10","Node 190 on 2025-07-09 | row 190","2025-07-09","Node-190"
"191","-31.3462","46.8464","-16.6108","7.4","88","Segment-11","Node 191 on 2025-07-10 | row 191","2025-07-10","Node-191"
"192","-28.9365","47.2405","-16.2747","8.45","92.8","Segment-12","Node 192 on 2025-07-11 | row 192","2025-07-11","Node-192"
"193","-26.4956","47.5875","-15.8806","9.5","97.6","Segment-01","Node 193 on 2025-07-12 | row 193","2025-07-12","Node-193"
"194","-24.024","47.8879","-15.4252","10.55","102.4","Segment-02","Node 194 on 2025-07-13 | row 194","2025-07-13","Node-194"
"195","-21.5222","48.1425","-14.9056","11.6","107.2","Segment-03","Node 195 on 2025-07-14 | row 195","2025-07-14","Node-195"
"196","-18.9906","48.3519","-14.3188","12.65","96.95","Segment-04","Node 196 on 2025-07-15 | row 196","2025-07-15","Node-196"
"197","-16.4298","48.5169","-13.6624","13.7","101.75","Segment-05","Node 197 on 2025-07-16 | row 197","2025-07-16","Node-197"
"198","-13.8403","48.6384","-12.9337","11.15","86.75","Segment-06","Node 198 on 2025-07-17 | row 198","2025-07-17","Node-198"
"199","-11.2227","48.7171","-12.1306","12.2","91.55","Segment-07","Node 199 on 2025-07-18 | row 199","2025-07-18","Node-199"
"200","-8.5775","48.754","-11.251","13.25","96.35","Segment-08","Node 200 on 2025-07-19 | row 200","2025-07-19","Node-200"
"201","-5.9053","48.7501","-10.2932","14.3","16.15","Segment-09","Node 201 on 2025-07-20 | row 201","2025-07-20","Node-201"
"202","-3.2068","48.7064","-9.2555","15.35","20.95","Segment-10","Node 202 on 2025-07-21 | row 202","2025-07-21","Node-202"
"203","-0.4825","48.6239","-8.1366","16.4","10.7","Segment-11","Node 203 on 2025-07-22 | row 203","2025-07-22","Node-203"
"204","-33.4032","48.5038","-6.9353","6.4","15.5","Segment-12","Node 204 on 2025-07-23 | row 204","2025-07-23","Node-204"
"205","-30.6295","48.3471","-5.6507","7.45","20.3","Segment-01","Node 205 on 2025-07-24 | row 205","2025-07-24","Node-205"
"206","-27.832","48.1552","-4.2823","8.5","25.1","Segment-02","Node 206 on 2025-07-25 | row 206","2025-07-25","Node-206"
"207","-25.0116","22.1692","-2.8296","5.95","29.9","Segment-03","Node 207 on 2025-07-26 | row 207","2025-07-26","Node-207"
"208","-22.1689","21.9105","-1.2925","7","34.7","Segment-04","Node 208 on 2025-07-27 | row 208","2025-07-27","Node-208"
"209","-19.3046","21.6203","0.329","8.05","19.7","Segment-05","Node 209 on 2025-07-28 | row 209","2025-07-28","Node-209"
"210","-16.4196","21.2999","2.0346","9.1","9.45","Segment-06","Node 210 on 2025-07-29 | row 210","2025-07-29","Node-210"
"211","-13.5145","20.9509","3.8235","10.15","14.25","Segment-07","Node 211 on 2025-07-30 | row 211","2025-07-30","Node-211"
"212","-10.5902","20.5746","5.695","11.2","19.05","Segment-08","Node 212 on 2025-07-31 | row 212","2025-07-31","Node-212"
"213","-7.6475","20.1724","7.6481","12.25","23.85","Segment-09","Node 213 on 2025-08-01 | row 213","2025-08-01","Node-213"
"214","-4.6872","19.7459","9.6813","13.3","28.65","Segment-10","Node 214 on 2025-08-02 | row 214","2025-08-02","Node-214"
"215","-1.7101","19.2966","11.7931","14.35","33.45","Segment-11","Node 215 on 2025-08-03 | row 215","2025-08-03","Node-215"
